"Line Probe: Direction [1,0,0] (m)","Line Probe: Velocity: Magnitude (m/s)"
8.419999999999998,2.1047198820612608E-4
8.468,2.1047198820612608E-4
8.515999999999998,2.1252545710762064E-4
8.564,2.1252545710762064E-4
8.611999999999998,2.1454309049189827E-4
8.66,2.1454309049189827E-4
8.707999999999998,2.1652565922633318E-4
8.756,2.1652565922633318E-4
8.803999999999998,2.1847396342866728E-4
8.852,2.1847396342866728E-4
8.899999999999999,2.1847396342866728E-4
8.948,2.203886721379849E-4
8.995999999999999,2.203886721379849E-4
9.044,2.222705417929478E-4
9.091999999999999,2.222705417929478E-4
9.14,2.241202996326144E-4
9.187999999999999,2.241202996326144E-4
9.236,2.2593861490897833E-4
9.283999999999999,2.2593861490897833E-4
9.332,2.2772618576348018E-4
9.379999999999999,2.2772618576348018E-4
9.428,2.29483696010428E-4
9.475999999999999,2.29483696010428E-4
9.524000000000001,2.3121178575207714E-4
9.572,2.3121178575207714E-4
9.620000000000001,2.3291109500412195E-4
9.668,2.3291109500412195E-4
9.716000000000001,2.3458227846770302E-4
9.764,2.3458227846770302E-4
9.812000000000001,2.3622593259676528E-4
9.86,2.3622593259676528E-4
9.908000000000001,2.3784265384952386E-4
9.956,2.3784265384952386E-4
10.004000000000001,2.39433067816267E-4
10.052,2.39433067816267E-4
10.100000000000001,2.39433067816267E-4
10.148,2.4099771284344682E-4
10.196000000000002,2.4099771284344682E-4
10.244,2.4253715618568618E-4
10.292000000000002,2.4253715618568618E-4
10.34,2.4405199446823718E-4
10.388000000000002,2.4405199446823718E-4
10.436,2.4554270771979576E-4
10.484000000000002,2.4554270771979576E-4
10.532,2.470098488661776E-4
10.580000000000002,2.470098488661776E-4
10.628,2.4845397074424566E-4
10.676000000000002,2.4845397074424566E-4
10.724,2.498755098078341E-4
10.772000000000002,2.498755098078341E-4
10.82,2.5127496074428595E-4
10.868000000000002,2.5127496074428595E-4
10.916,2.526528764191673E-4
10.964000000000002,2.526528764191673E-4
11.012,2.540096642104448E-4
11.059999999999999,2.540096642104448E-4
11.107999999999997,2.553457606576508E-4
11.155999999999999,2.553457606576508E-4
11.204,2.566616894936367E-4
11.251999999999999,2.566616894936367E-4
11.299999999999997,2.566616894936367E-4
11.347999999999999,2.5795779985801577E-4
11.396,2.5795779985801577E-4
11.443999999999999,2.592346155901981E-4
11.491999999999997,2.592346155901981E-4
11.54,2.604924277287186E-4
11.588000000000001,2.604924277287186E-4
11.636,2.617317600586339E-4
11.683999999999997,2.617317600586339E-4
11.732,2.6295296177368917E-4
11.780000000000001,2.6295296177368917E-4
11.828,2.6415638199859956E-4
11.875999999999998,2.6415638199859956E-4
11.924,2.653424573751259E-4
11.972000000000001,2.653424573751259E-4
12.02,2.665115369343754E-4
12.067999999999998,2.665115369343754E-4
12.116,2.6766397000410136E-4
12.164000000000001,2.6766397000410136E-4
12.212,2.6880013483291266E-4
12.259999999999998,2.6880013483291266E-4
12.308,2.6992032247159824E-4
12.356000000000002,2.6992032247159824E-4
12.404,2.7102491122088697E-4
12.451999999999998,2.7102491122088697E-4
12.5,2.7102491122088697E-4
12.548000000000002,2.721142211690842E-4
12.596,2.721142211690842E-4
12.643999999999998,2.731886015850861E-4
12.692,2.731886015850861E-4
12.740000000000002,2.7424825613413636E-4
12.788,2.7424825613413636E-4
12.835999999999999,2.752936794095834E-4
12.884,2.752936794095834E-4
12.932000000000002,2.763251043507498E-4
12.98,2.763251043507498E-4
