"Time","Max_vitesse_au_point_x Monitor: Max_vitesse_au_point_x Monitor (m/s)"
28000.0,-0.001759296515956521
28100.0,-0.0017578452825546265
28200.0,-0.0017563721630722284
28300.0,-0.0017548769246786833
28400.0,-0.0017533598002046347
28500.0,-0.0017518217209726572
28600.0,-0.0017502614064142108
28700.0,-0.0017486772267147899
28800.0,-0.0017470706952735782
28900.0,-0.001745442976243794
29000.0,-0.0017437944188714027
29100.0,-0.0017421249067410827
29200.0,-0.0017404352547600865
29300.0,-0.0017387254629284143
29400.0,-0.0017369945999234915
29500.0,-0.0017352423164993525
29600.0,-0.001733468729071319
29700.0,-0.001731675467453897
29800.0,-0.001729862648062408
29900.0,-0.0017280310858041048
30000.0,-0.001726180431433022
30100.0,-0.0017243109177798033
30200.0,-0.0017224226612597704
30300.0,-0.0017205149633809924
30400.0,-0.0017185875913128257
30500.0,-0.0017166411271318793
30600.0,-0.0017146760364994407
30700.0,-0.0017126932507380843
30800.0,-0.0017106925370171666
30900.0,-0.001708673662506044
31000.0,-0.001706637442111969
31100.0,-0.0017045829445123672
31200.0,-0.0017025101697072387
31300.0,-0.001700419234111905
31400.0,-0.0016983100213110447
31500.0,-0.0016961839282885194
31600.0,-0.0016940401401370764
31700.0,-0.001691879122518003
31800.0,-0.0016897013410925865
31900.0,-0.0016875066794455051
32000.0,-0.0016852947883307934
32100.0,-0.0016830653185024858
32200.0,-0.0016808186192065477
32300.0,-0.0016785545740276575
32400.0,-0.001676273881457746
32500.0,-0.0016739761922508478
32600.0,-0.0016716619720682502
32700.0,-0.0016693314537405968
32800.0,-0.0016669845208525658
32900.0,-0.0016646207077428699
33000.0,-0.0016622401308268309
33100.0,-0.0016598430229350924
33200.0,-0.001657429151237011
33300.0,-0.00165499874856323
33400.0,-0.001652552280575037
33500.0,-0.0016500892816111445
33600.0,-0.0016476101009175181
33700.0,-0.0016451150877401233
33800.0,-0.0016426041256636381
33900.0,-0.0016400770982727408
34000.0,-0.001637533656321466
34100.0,-0.0016349744983017445
34200.0,-0.0016323993913829327
34300.0,-0.0016298088012263179
34400.0,-0.001627202844247222
34500.0,-0.0016245811711996794
34600.0,-0.0016219436656683683
34700.0,-0.0016192907933145761
34800.0,-0.0016166227869689465
34900.0,-0.0016139395302161574
35000.0,-0.0016112413723021746
35100.0,-0.0016085283132269979
35200.0,-0.0016058008186519146
35300.0,-0.0016030591214075685
35400.0,-0.001600303454324603
35500.0,-0.001597534166648984
35600.0,-0.0015947523061186075
35700.0,-0.0015919581055641174
35800.0,-0.0015891501680016518
35900.0,-0.0015863286098465323
36000.0,-0.001583493547514081
36100.0,-0.0015806455630809069
36200.0,-0.0015777850057929754
36300.0,-0.0015749122248962522
36400.0,-0.0015720271039754152
36500.0,-0.001569130807183683
36600.0,-0.0015662238001823425
36700.0,-0.0015633049188181758
36800.0,-0.0015603695064783096
36900.0,-0.0015574200078845024
37000.0,-0.0015544586349278688
37100.0,-0.0015514864353463054
37200.0,-0.0015485035255551338
37300.0,-0.0015455104876309633
37400.0,-0.0015425055753439665
37500.0,-0.0015394907677546144
37600.0,-0.0015364662976935506
37700.0,-0.0015334325144067407
37800.0,-0.0015303893014788628
37900.0,-0.0015273375902324915
38000.0,-0.001524275983683765
38100.0,-0.0015212049474939704
38200.0,-0.001518125063739717
38300.0,-0.0015150360995903611
38400.0,-0.0015119391027837992
38500.0,-0.001508834189735353
38600.0,-0.001505721709690988
38700.0,-0.0015026017790660262
38800.0,-0.001499474747106433
38900.0,-0.00149634073022753
39000.0,-0.0014932011254131794
39100.0,-0.001490056631155312
39200.0,-0.0014869053848087788
39300.0,-0.0014837469207122922
39400.0,-0.0014805812388658524
39500.0,-0.0014774088049307466
39600.0,-0.0014742297353222966
39700.0,-0.0014710439136251807
39800.0,-0.001467851921916008
39900.0,-0.0014646555064246058
40000.0,-0.0014614543179050088
40100.0,-0.001458246842958033
40200.0,-0.0014550323830917478
40300.0,-0.0014518111711367965
40400.0,-0.0014485828578472137
40500.0,-0.0014453475596383214
40600.0,-0.0014421059750020504
40700.0,-0.0014388589188456535
40800.0,-0.0014356059255078435
40900.0,-0.001432345830835402
41000.0,-0.0014290781691670418
41100.0,-0.0014258025912567973
41200.0,-0.001422518864274025
41300.0,-0.001419228152371943
41400.0,-0.001415930804796517
41500.0,-0.0014126262394711375
41600.0,-0.001409313757903874
41700.0,-0.0014059932436794043
41800.0,-0.0014026639983057976
41900.0,-0.0013993264874443412
42000.0,-0.0013959811767563224
42100.0,-0.0013926278334110975
42200.0,-0.0013892664574086666
42300.0,-0.0013858966995030642
42400.0,-0.001382517977617681
42500.0,-0.0013791307574138045
42600.0,-0.0013757350388914347
42700.0,-0.001372331054881215
42800.0,-0.0013689188053831458
42900.0,-0.0013654980575665832
43000.0,-0.0013620685786008835
43100.0,-0.001358630252070725
43200.0,-0.0013551833108067513
43300.0,-0.0013517276383936405
43400.0,-0.0013482635840773582
43500.0,-0.0013447911478579044
43600.0,-0.001341310329735279
43700.0,-0.0013378208968788385
43800.0,-0.0013343231985345483
43900.0,-0.001330817467533052
44000.0,-0.001327303471043706
44100.0,-0.0013237817911431193
44200.0,-0.0013202524278312922
44300.0,-0.0013167154975235462
44400.0,-0.0013131714658811688
44500.0,-0.0013096204493194818
44600.0,-0.0013060630299150944
44700.0,-0.00130249944049865
44800.0,-0.0012989295646548271
44900.0,-0.0012953541008755565
45000.0,-0.0012917730491608381
45100.0,-0.0012881872244179249
45200.0,-0.0012845969758927822
45300.0,-0.001281002420000732
